   7.8125002e-01   3.6824530e-01
   1.5625000e+00   4.2434517e-01
   2.3437501e+00   5.2659266e-01
   3.1250001e+00   6.5543888e-01
   3.9062501e+00   7.6550723e-01
   4.6875001e+00   8.4630946e-01
   5.4687501e+00   8.8504151e-01
   6.2500001e+00   9.4403700e-01
   7.0312502e+00   1.0257386e+00
   7.8125002e+00   1.1052024e+00
   8.5937502e+00   1.1311084e+00
   9.3750002e+00   1.1239854e+00
   1.0156250e+01   1.1714584e+00
   1.0937500e+01   1.2828948e+00
   1.1718750e+01   1.4618003e+00
   1.2500000e+01   1.6026502e+00
   1.3281250e+01   1.7005896e+00
   1.4062500e+01   1.7178388e+00
   1.4843750e+01   1.7769868e+00
   1.5625000e+01   1.8355053e+00
   1.6406250e+01   1.9102310e+00
   1.7187500e+01   1.8220094e+00
   1.7968750e+01   1.6235744e+00
   1.8750000e+01   1.3625914e+00
   1.9531250e+01   1.1886617e+00
