   7.8125002e-01   1.9633268e-01
   1.5625000e+00   2.6166166e-01
   2.3437501e+00   3.3505910e-01
   3.1250001e+00   4.1144846e-01
   3.9062501e+00   4.8250162e-01
   4.6875001e+00   5.5376357e-01
   5.4687501e+00   6.4444747e-01
   6.2500001e+00   7.8463498e-01
   7.0312502e+00   1.0614583e+00
   7.8125002e+00   1.4089596e+00
   8.5937502e+00   1.7458419e+00
   9.3750002e+00   1.9609844e+00
   1.0156250e+01   2.1173291e+00
   1.0937500e+01   2.2415467e+00
   1.1718750e+01   2.3488768e+00
   1.2500000e+01   2.3294933e+00
   1.3281250e+01   2.0844273e+00
   1.4062500e+01   1.6605519e+00
   1.4843750e+01   1.2218911e+00
   1.5625000e+01   9.0396088e-01
   1.6406250e+01   6.5800558e-01
   1.7187500e+01   4.8283948e-01
   1.7968750e+01   3.9277284e-01
   1.8750000e+01   3.4829670e-01
   1.9531250e+01   3.3781344e-01
