#  7     1
#  2953  27
G04   0.00427 0.9  P
G05   0.01605 0.7  P
G06   0.00788 0.9  P
#  2981  28
G01   0.00943 0.9  P
G03   0.00843 0.9  P
G05   0.00573 0.9  P
G06   0.01537 0.9  P
G07   0.01342 0.9  P
G08   0.02212 0.9  P
G09   0.01409 0.9  P
G10   0.01391 0.9  P
G12   0.01219 0.9  P
G13   0.01006 0.9  P
#  3020  29
G03   0.00359 0.9  P
G04   0.00637 0.9  P
G05   0.00033 0.9  P
G07   0.00293 0.9  P
G08   0.00411 0.9  P
G10   0.00077 0.9  P
G12   0.00375 0.9  P
G13   0.00633 0.9  P
G14   0.00055 0.9  P
#  3056  30
G01   0.00104 0.9  P
G03   0.01153 0.9  P
G04   0.00061 0.9  P
G05   0.00199 0.9  P
G06   0.01023 0.9  P
G07   0.01383 0.9  P
#  3268  31
G06   0.02655 0.9  P
G07   0.01057 0.9  P
G09   0.01457 0.9  P
G12   0.00127 0.9  P
G14   0.01036 0.9  P
#  3401  32
G01   0.00395 0.9  P
G02   0.00947 0.9  P
G03   0.00245 0.9  P
G05   0.00086 0.9  P
G07   0.00799 0.9  P
G09   0.00829 0.9  P
G10   0.00485 0.9  P
G12   0.00364 0.9  P
G13   0.00641 0.9  P
#  3404  33
G08   0.00037 0.9  P
G09   0.00775 0.9  P
G12   0.00147 0.9  P
G13   0.00018 0.9  P
G16   0.00622 0.9  P
#  3741  34
G03   0.00617 0.9  P
G04   0.02368 0.9  P
G05   0.00125 0.9  P
G07   0.00442 0.9  P
G08   0.00455 0.9  P
G09   0.01840 0.9  P
G13   0.00834 0.9  P
G16   0.00300 0.9  P
#  3755  35
G03   0.01053 0.9  P
G05   0.00016 0.9  P
G06   0.02813 0.9  P
G07   0.00762 0.9  P
G10   0.00098 0.9  P
#  3768  36
G01   0.00119 0.9  P
G03   0.01222 0.9  P
G05   0.00091 0.9  P
G06   0.01802 0.9  P
G07   0.01525 0.9  P
G08   0.01587 0.9  P
#  3860  37
G01   0.00156 0.9  P
G03   0.00786 0.9  P
G07   0.00044 0.9  P
G08   0.00204 0.9  P
G09   0.00029 0.9  P
G12   0.00185 0.9  P
G13   0.01138 0.9  P
#  3876  38
G08   0.01509 0.9  P
G12   0.00019 0.9  P
G16   0.00948 0.9  P
#  3881  39
G01   0.00188 0.9  P
G03   0.02310 0.9  P
G04   0.00056 0.9  P
#  4237  40
G01   0.00415 0.9  P
G02   0.02633 0.9  P
G03   0.00040 0.9  P
G04   0.00063 0.9  P
G05   0.00115 0.9  P
G06   0.00491 0.9  P
G13   0.00511 0.9  P
G14   0.00240 0.9  P
#  4244  41
G05   0.01069 0.9  P
G06   0.01055 0.9  P
G07   0.00187 0.9  P
G09   0.00435 0.9  P
G10   0.00020 0.9  P
G12   0.00075 0.9  P
G13   0.00015 0.9  P
G14   0.00087 0.9  P
#  4252  42
G01   0.00248 0.9  P
G02   0.01599 0.9  P
G03   0.00570 0.9  P
G05   0.01255 0.9  P
G06   0.00937 0.9  P
G07   0.00141 0.9  P
G09   0.00880 0.9  P
G10   0.00014 0.9  P
G12   0.00407 0.9  P
G13   0.00142 0.9  P
G14   0.00238 0.9  P
#  4427  43
G01   0.00859 0.9  P
G02   0.01492 0.9  P
G03   0.00544 0.9  P
G06   0.00012 0.9  P
